enter_threshold,exit_threshold,enter_run_windows,exit_run_windows,rows,accuracy,precision_walking,recall_walking,f1_walking,specificity_not_walking,false_positive_rate,tn,fp,fn,tp,scope,segments
0.65,0.45,4,3,388,0.38402061855670105,0.0,0.0,0.0,0.3962765957446808,0.6037234042553191,149,227,12,0,same_patient,4
0.65,0.45,4,4,388,0.18814432989690721,0.0,0.0,0.0,0.19414893617021275,0.8058510638297872,73,303,12,0,same_patient,4
0.65,0.45,4,5,388,0.01288659793814433,0.0,0.0,0.0,0.013297872340425532,0.9867021276595744,5,371,12,0,same_patient,4
0.65,0.5,1,1,388,0.4020618556701031,0.04918032786885246,1.0,0.09375,0.3829787234042553,0.6170212765957447,144,232,0,12,same_patient,4
0.65,0.5,1,2,388,0.31443298969072164,0.04316546762589928,1.0,0.08275862068965517,0.2925531914893617,0.7074468085106383,110,266,0,12,same_patient,4
0.65,0.5,1,3,388,0.3015463917525773,0.04240282685512368,1.0,0.08135593220338982,0.27925531914893614,0.7207446808510638,105,271,0,12,same_patient,4
0.65,0.5,1,4,388,0.2912371134020619,0.041811846689895474,1.0,0.0802675585284281,0.26861702127659576,0.7313829787234043,101,275,0,12,same_patient,4
0.65,0.5,1,5,388,0.2603092783505155,0.04013377926421405,1.0,0.07717041800643087,0.23670212765957446,0.7632978723404256,89,287,0,12,same_patient,4
0.65,0.5,2,1,388,0.4639175257731959,0.05454545454545454,1.0,0.10344827586206896,0.44680851063829785,0.5531914893617021,168,208,0,12,same_patient,4
0.65,0.5,2,2,388,0.4020618556701031,0.04918032786885246,1.0,0.09375,0.3829787234042553,0.6170212765957447,144,232,0,12,same_patient,4
0.65,0.5,2,3,388,0.3865979381443299,0.048,1.0,0.0916030534351145,0.3670212765957447,0.6329787234042553,138,238,0,12,same_patient,4
0.65,0.5,2,4,388,0.3865979381443299,0.048,1.0,0.0916030534351145,0.3670212765957447,0.6329787234042553,138,238,0,12,same_patient,4
0.65,0.5,2,5,388,0.3118556701030928,0.043010752688172046,1.0,0.08247422680412371,0.2898936170212766,0.7101063829787234,109,267,0,12,same_patient,4
0.65,0.5,3,1,388,0.48195876288659795,0.056338028169014086,1.0,0.10666666666666667,0.4654255319148936,0.5345744680851063,175,201,0,12,same_patient,4
0.65,0.5,3,2,388,0.4252577319587629,0.05106382978723404,1.0,0.09716599190283401,0.40691489361702127,0.5930851063829787,153,223,0,12,same_patient,4
0.65,0.5,3,3,388,0.4252577319587629,0.05106382978723404,1.0,0.09716599190283401,0.40691489361702127,0.5930851063829787,153,223,0,12,same_patient,4
